Year,Team,orig_pct,new_pct,delta_pct,inn_elim
2016,TEX,0.5864197530864198,0.5864197530864198,0.0,20.0
2015,TEX,0.5432098765432098,0.5401234567901234,-0.0030864197530864335,18.0
2019,PHI,0.5,0.49691358024691357,-0.0030864197530864335,38.0
2018,PHI,0.49382716049382713,0.4876543209876543,-0.006172839506172811,34.0
2017,PHI,0.4074074074074074,0.4166666666666667,0.0092592592592593,35.0
2016,PHI,0.4382716049382716,0.4351851851851852,-0.0030864197530864335,23.0
2015,PHI,0.3888888888888889,0.39814814814814814,0.009259259259259245,30.0
2019,NYM,0.5308641975308642,0.5370370370370371,0.006172839506172867,44.0
2018,NYM,0.47530864197530864,0.47530864197530864,0.0,41.0
2017,NYM,0.43209876543209874,0.44753086419753085,0.015432098765432112,24.0
2016,NYM,0.5370370370370371,0.5277777777777778,-0.0092592592592593,25.0
